LineCount,Group,DuplicateFile,StartLine,EndLine
58,Core.Service.DemoApp,D:\PrismMetrics\src\Core.Service.DemoApp\Service\Slb.Prism.Core.Service.DemoApp\Areas\HelpPage\SampleGeneration\HelpPageSampleKey.cs,11,169
58,Core.Service.ChannelData.Writer,D:\PrismMetrics\src\Core.Service.ChannelData.Writer\Service\Slb.Prism.Core.Service.ChannelData.Reader\Areas\HelpPage\SampleGeneration\HelpPageSampleKey.cs,11,169
59,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,5067,5141
59,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.lg\objects\AreaFill.js,4,78
69,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.base\dom.js,2,115
69,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,204,317
69,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,5402,5490
69,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.lg\objects\VDL.js,4,92
75,Core.Service.DemoApp,D:\PrismMetrics\src\Core.Service.DemoApp\Service\Slb.Prism.Core.Service.DemoApp\Areas\HelpPage\XmlDocumentationProvider.cs,15,158
75,Core.Service.ChannelData.Writer,D:\PrismMetrics\src\Core.Service.ChannelData.Writer\Service\Slb.Prism.Core.Service.ChannelData.Reader\Areas\HelpPage\XmlDocumentationProvider.cs,15,158
87,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,5494,5602
87,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.lg\objects\Waveform.js,4,112
90,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.lg\render\Tile.js,4,120
90,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,6033,6149
99,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,5,169
99,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.base\core.js,5,169
100,Core.Service.StreamRouter,D:\PrismMetrics\src\Core.Service.StreamRouter\Service\Slb.Prism.Core.Service.StreamRouter.DispatcherService\ServiceEventSource.cs,13,195
100,Core.Service.Listener,D:\PrismMetrics\src\Core.Service.Listener\Service\Slb.Prism.Core.Service.Listener.PublishService\ServiceEventSource.cs,13,195
100,Core.Service.Command,D:\PrismMetrics\src\Core.Service.Command\Service\Slb.Prism.Core.Service.EvtData.WellEvtDataProcessor\ServiceEventSource.cs,13,195
100,Core.Service.Command,D:\PrismMetrics\src\Core.Service.Command\Service\Slb.Prism.Core.Service.Command.WellCommandProcessor\ServiceEventSource.cs,13,195
100,Core.Service.Listener,D:\PrismMetrics\src\Core.Service.Listener\Service\Slb.Prism.Core.Service.ListenerService\ServiceEventSource.cs,13,195
100,Core.Service.ChannelData.Writer,D:\PrismMetrics\src\Core.Service.ChannelData.Writer\Service\PListen\ServiceEventSource.cs,13,195
102,Core.Service.StreamRouter,D:\PrismMetrics\src\Core.Service.StreamRouter\Service\Slb.Prism.Core.Service.StreamRouter.TelemetryProcessor\ActorEventSource.cs,13,182
102,Core.Service.StreamRouter,D:\PrismMetrics\src\Core.Service.StreamRouter\Service\Slb.Prism.Core.Service.StreamRouter.SurveyProcessor\ActorEventSource.cs,10,179
114,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.lg\render\Area.js,4,149
114,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,5652,5797
117,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,1012,1169
117,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.lg\abstract\BaseDataManager.js,5,162
117,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,2460,2578
117,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.lg\constants\ctPatterns.js,2,120
121,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,6154,6326
121,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.lg\views\View.js,5,177
129,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.base\storage.js,7,184
129,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,743,920
146,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.lg\managers\LocalDataManager.js,1,205
146,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,4853,5057
149,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,1628,1789
149,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.lg\constants\ctConversions.js,2,163
152,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.lg\data\LogData.js,5,208
152,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,3730,3933
157,Core.Service.ChannelData.Writer,D:\PrismMetrics\src\Core.Service.ChannelData.Writer\Service\Slb.Prism.Core.Service.ChannelData.Reader\Areas\HelpPage\HelpPageConfigurationExtensions.cs,19,463
157,Core.Service.DemoApp,D:\PrismMetrics\src\Core.Service.DemoApp\Service\Slb.Prism.Core.Service.DemoApp\Areas\HelpPage\HelpPageConfigurationExtensions.cs,19,463
164,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.lg\convertors\UnitConvertor.js,4,223
164,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,3252,3471
179,Core.Service.DemoApp,D:\PrismMetrics\src\Core.Service.DemoApp\Service\Slb.Prism.Core.Service.DemoApp\Areas\HelpPage\SampleGeneration\HelpPageSampleGenerator.cs,21,441
179,Core.Service.ChannelData.Writer,D:\PrismMetrics\src\Core.Service.ChannelData.Writer\Service\Slb.Prism.Core.Service.ChannelData.Reader\Areas\HelpPage\SampleGeneration\HelpPageSampleGenerator.cs,21,441
181,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,5801,6029
181,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.lg\render\Insert.js,4,232
187,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.lg\data\ChannelData.js,5,254
187,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,3476,3725
194,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,320,637
194,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.base\event.js,3,320
228,Core.Service.DemoApp,D:\PrismMetrics\src\Core.Service.DemoApp\Service\Slb.Prism.Core.Service.DemoApp\Areas\HelpPage\ModelDescriptions\ModelDescriptionGenerator.cs,19,448
228,Core.Service.ChannelData.Writer,D:\PrismMetrics\src\Core.Service.ChannelData.Writer\Service\Slb.Prism.Core.Service.ChannelData.Reader\Areas\HelpPage\ModelDescriptions\ModelDescriptionGenerator.cs,19,448
231,Core.Service.ChannelData.Writer,D:\PrismMetrics\src\Core.Service.ChannelData.Writer\Service\Slb.Prism.Core.Service.ChannelData.Reader\Areas\HelpPage\SampleGeneration\ObjectGenerator.cs,14,452
231,Core.Service.DemoApp,D:\PrismMetrics\src\Core.Service.DemoApp\Service\Slb.Prism.Core.Service.DemoApp\Areas\HelpPage\SampleGeneration\ObjectGenerator.cs,14,452
326,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\src\Sabre.lg\abstract\BaseObject.js,5,437
326,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,1174,1606
466,Core.Library.Sabre,D:\PrismMetrics\src\Core.Library.Sabre\dist\Sabre.min.js,1791,2260
